calc_id,geom_id,mol_id,molecule_id,label,code,root,basis,method,omegaA,omegaB,omegaC,ijk,value
calc_49cda8ee4199a6ed,geom_f76df9740e850e15,C22H24N2O2,geom_f76df9740e850e15,n11,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n11,,,-0.0,0.0,0.0,xzx,0.0035583771991379116
calc_49cda8ee4199a6ed,geom_f76df9740e850e15,C22H24N2O2,geom_f76df9740e850e15,n11,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n11,,,-0.0,0.0,0.0,xzy,0.002179660390895017
calc_49cda8ee4199a6ed,geom_f76df9740e850e15,C22H24N2O2,geom_f76df9740e850e15,n11,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n11,,,-0.0,0.0,0.0,xzz,-26.00548652088401
calc_49cda8ee4199a6ed,geom_f76df9740e850e15,C22H24N2O2,geom_f76df9740e850e15,n11,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n11,,,-0.0,0.0,0.0,yxx,30274.0432391511
calc_49cda8ee4199a6ed,geom_f76df9740e850e15,C22H24N2O2,geom_f76df9740e850e15,n11,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n11,,,-0.0,0.0,0.0,yxy,30458.142737012335
calc_49cda8ee4199a6ed,geom_f76df9740e850e15,C22H24N2O2,geom_f76df9740e850e15,n11,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n11,,,-0.0,0.0,0.0,yxz,0.0021882061138862458
calc_49cda8ee4199a6ed,geom_f76df9740e850e15,C22H24N2O2,geom_f76df9740e850e15,n11,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n11,,,-0.0,0.0,0.0,yyx,30458.14273701077
calc_49cda8ee4199a6ed,geom_f76df9740e850e15,C22H24N2O2,geom_f76df9740e850e15,n11,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n11,,,-0.0,0.0,0.0,yyy,29620.673673962454
calc_49cda8ee4199a6ed,geom_f76df9740e850e15,C22H24N2O2,geom_f76df9740e850e15,n11,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n11,,,-0.0,0.0,0.0,yyz,0.0012505149368327514
calc_49cda8ee4199a6ed,geom_f76df9740e850e15,C22H24N2O2,geom_f76df9740e850e15,n11,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n11,,,-0.0,0.0,0.0,yzx,0.002188206105688005
